# Generated Letter Puzzle Variations - FULLY SCRAMBLED
# Format: FEATURED_LETTER|ANSWER|AVAILABLE_LETTERS

# Puzzle 1: 12 words with 'S'
# Examples: DUSTY, LUSTY, SEEDY, SHEET, SLEET
# Puzzle 38: 4 words with 'I'
# Examples: AUDIO, MAGIC, OPIUM, PUBIC
I|AUDIO|B,P,A,P,C,D,O,I,M,A,U,G

# Puzzle 39: 1 words with 'F'
# Examples: SNIFF
F|SNIFF|G,S,I,F,P,S,R,A,N,S,W,F

# Puzzle 40: 71 words with 'E'
# Examples: ADEPT, AFIRE, AFTER, AGILE, AIDER
E|TRIED|A,E,R,G,D,H,P,F,I,I,T,L

# Puzzle 41: 21 words with 'H'
# Examples: BATCH, BATHE, BEACH, BOTCH, BUTCH
H|DUTCH|A,D,U,B,E,H,C,T,O,H,P,H

# Puzzle 42: 15 words with 'C'
# Examples: ACORN, CAROL, CARRY, CLOWN, COACH
C|CROWN|R,C,Y,O,P,C,H,R,L,W,A,N

# Puzzle 43: 13 words with 'V'
# Examples: AVERT, CARVE, COVER, COVET, CRAVE
V|OVERT|M,A,A,C,E,D,T,O,V,P,R,O

# Puzzle 44: 15 words with 'K'
# Examples: ASKEW, AWAKE, SKATE, SNACK, SNAKE
K|SKATE|P,E,F,A,S,W,C,E,A,K,N,T

# Puzzle 45: 7 words with 'L'
# Examples: BLUNT, BLURB, BLURT, FLOUR, FLOUT
L|BLUNT|O,H,F,B,G,N,B,T,B,L,R,U

# Puzzle 46: 33 words with 'A'
# Examples: AGAPE, AGATE, AGENT, ANGST, APNEA
A|STANK|G,K,E,U,T,S,Y,P,P,N,A,A

# Puzzle 47: 8 words with 'B'
# Examples: ALBUM, BADLY, BALMY, BLAND, BLUNT
B|BADLY|P,A,D,D,L,U,M,N,Y,B,G,T

# Puzzle 48: 41 words with 'E'
# Examples: CIDER, COPSE, COUPE, CREDO, CREED
E|SPEED|S,O,R,E,C,U,D,P,E,I,E,D

# Puzzle 49: 17 words with 'O'
# Examples: ASCOT, BACON, BATON, BISON, BOAST
O|BOSSY|N,Y,O,C,I,T,B,O,A,S,S,A

# Puzzle 50: 16 words with 'R'
# Examples: ERROR, HOMER, HORDE, HORSE, MOWER
R|ERROR|M,R,W,S,O,R,E,D,H,O,R,D

# Puzzle 51: 21 words with 'O'
# Examples: CHOSE, CLOSE, CLOTH, COMET, DECOY
O|CLOSE|H,E,E,O,M,T,I,L,Y,C,S,D

# Puzzle 52: 7 words with 'C'
# Examples: ACUTE, CHEAT, CHUTE, HATCH, HUTCH
C|HUTCH|H,C,E,U,H,H,A,G,U,E,M,T

# Puzzle 53: 9 words with 'B'
# Examples: ABASE, ABATE, ABBEY, BASTE, BEAST
B|ABASE|E,A,B,C,Y,E,F,B,S,T,A,E

# Puzzle 54: 29 words with 'E'
# Examples: AGREE, ANGER, ANNEX, ARISE, AROSE
E|ANNEX|R,I,E,O,E,G,N,S,A,E,N,X

# Puzzle 55: 44 words with 'A'
# Examples: ACRID, ACUTE, AFIRE, AFTER, AIDER
A|START|T,D,T,F,C,R,E,I,A,T,S,U

# Puzzle 56: 15 words with 'O'
# Examples: FOCUS, FOLLY, GOLLY, GOOFY, LOCUS
O|SLOOP|S,F,C,U,Y,O,W,P,G,L,O,L

# Puzzle 57: 12 words with 'L'
# Examples: CAMEL, CANAL, CLEAN, EASEL, LANCE
L|CANAL|Y,Y,E,S,M,E,C,E,L,N,A,A

# Puzzle 58: 7 words with 'C'
# Examples: CLING, CORNY, CRIMP, CRONY, LOGIC
C|CORNY|P,G,M,R,C,I,Y,O,N,D,N,L

# Puzzle 59: 13 words with 'L'
# Examples: CLEFT, ELECT, ELEGY, ELITE, FILET
L|STEEL|C,Y,S,S,F,E,I,L,T,E,E,G

# Puzzle 60: 34 words with 'N'
# Examples: ANGST, ANTIC, APING, CHAIN, CHANT
N|TAUNT|S,I,D,U,P,T,C,H,G,T,N,A

# Puzzle 61: 23 words with 'S'
# Examples: ARTSY, DUSTY, HASTY, HUSSY, NASTY
S|STRUT|T,D,H,N,T,R,Y,A,S,U,S,U

# Puzzle 62: 73 words with 'E'
# Examples: CHEER, CHIDE, CHORE, CHOSE, CIDER
E|SCREE|S,E,N,E,O,R,P,H,D,I,D,C

# Puzzle 63: 4 words with 'Q'
# Examples: QUEEN, QUEER, QUERY, QUEUE
Q|QUEEN|Y,U,Q,N,N,W,E,U,E,U,R,P

# Puzzle 64: 28 words with 'R'
# Examples: CHEER, CHORE, COLOR, CRESS, CREST
R|SHORE|O,O,E,H,S,E,S,L,T,C,R,L

# Puzzle 65: 5 words with 'K'
# Examples: CLINK, FLICK, FLUNK, FUNKY, LUCKY
K|FUNKY|Y,T,I,U,F,K,I,D,N,C,N,L

# Puzzle 66: 5 words with 'S'
# Examples: FROST, GHOST, GROSS, SHORT, SPORT
S|GROSS|B,P,G,F,S,R,H,S,T,F,T,O

# Puzzle 67: 29 words with 'O'
# Examples: ACORN, ALONE, AROSE, ARSON, CANOE
O|ACORN|R,L,A,C,U,L,S,S,E,N,N,O

# Puzzle 68: 19 words with 'W'
# Examples: COWER, GROWL, LOWER, SCOWL, SCREW
W|WHIFF|S,I,W,R,L,F,C,G,O,H,F,E

# Puzzle 69: 5 words with 'T'
# Examples: BERET, BETEL, FLEET, LEFTY, METER
T|METER|B,E,F,M,R,E,E,B,T,L,W,Y

# Puzzle 70: 15 words with 'E'
# Examples: AGATE, ALGAE, EAGLE, ELATE, GAVEL
E|HEAVE|A,T,G,H,L,A,E,T,E,E,V,L

# Puzzle 71: 8 words with 'C'
# Examples: CLEFT, CLOSE, CLOUT, ELECT, FOCUS
C|ELECT|F,L,U,S,E,O,S,E,T,C,B,W

# Puzzle 72: 17 words with 'O'
# Examples: CONDO, COPSE, COUPE, DEMON, MOOSE
O|SCOPE|O,O,C,S,M,E,D,U,S,P,E,N

# Puzzle 73: 15 words with 'R'
# Examples: CHIRP, CRIME, CRIMP, FINER, GRIEF
R|CRIMP|P,I,E,N,C,H,R,I,F,M,H,G

# Puzzle 74: 64 words with 'E'
# Examples: ABBEY, AROSE, ATONE, BASTE, BEAST
E|SNORE|S,P,T,C,R,B,B,O,E,Y,N,A

# Puzzle 75: 55 words with 'R'
# Examples: ABHOR, ABORT, ACORN, ACRID, ACTOR
R|ROACH|I,R,N,A,T,W,D,O,B,H,A,C

# Puzzle 76: 8 words with 'H'
# Examples: CINCH, ITCHY, NYMPH, PINCH, PITCH
H|PITHY|S,N,H,C,Y,C,T,I,Y,T,M,P

# Puzzle 77: 27 words with 'R'
# Examples: BERET, EGRET, EMBER, ESTER, GREET
R|BERET|R,E,G,T,E,B,S,M,W,O,Y,T

# Puzzle 78: 21 words with 'T'
# Examples: ANGST, ANTIC, ATTIC, GAUNT, GIANT
T|STUNG|C,W,A,N,S,I,G,T,I,U,T,S

# Puzzle 79: 8 words with 'N'
# Examples: FUNGI, GRUNT, MINUS, STING, STUNG
N|SUING|U,T,F,N,U,N,U,M,I,S,R,G

# Puzzle 80: 13 words with 'A'
# Examples: ALLOT, ALOFT, ALONG, ATOLL, FLOAT
A|TALON|T,D,N,D,L,L,G,O,T,A,L,F

# Puzzle 81: 17 words with 'E'
# Examples: AMBER, AROSE, BARGE, GAMER, HAREM
E|AROSE|M,E,A,M,B,O,S,G,M,H,R,S

# Puzzle 82: 17 words with 'D'
# Examples: ADAGE, ADORE, ADORN, ANODE, DONOR
D|NUDGE|D,O,E,N,U,A,G,E,R,E,O,A

# Puzzle 83: 27 words with 'T'
# Examples: ALERT, ALTER, AVERT, BLEAT, BLURT
T|VALET|M,M,U,T,L,E,B,B,A,V,R,I

# Puzzle 84: 7 words with 'C'
# Examples: ATTIC, BASIC, CACTI, CIRCA, SCRAM
C|SCRAM|T,T,B,R,M,C,C,S,C,R,I,A

# Puzzle 85: 5 words with 'A'
# Examples: AGONY, ANNOY, BAGGY, BANJO, WAGON
A|BANJO|A,G,N,Y,H,N,O,B,G,J,A,W

# Puzzle 86: 19 words with 'E'
# Examples: CHIEF, CHIME, CHOSE, CLOSE, COPSE
E|CYCLE|C,P,I,M,Y,S,H,C,L,F,E,O

# Puzzle 87: 51 words with 'R'
# Examples: AMBER, ARISE, AROSE, ARSON, BALER
R|BLARE|A,M,N,Y,I,L,O,E,S,B,R,B

# Puzzle 88: 8 words with 'K'
# Examples: BROOK, CRACK, CROAK, CROCK, CROOK
K|CROCK|W,B,C,O,A,C,K,R,O,Y,D,W

# Puzzle 89: 29 words with 'I'
# Examples: CHIDE, CHIRP, CIDER, CRIED, DIRGE
I|PITCH|I,R,P,D,G,T,T,H,P,D,C,E

# Puzzle 90: 46 words with 'I'
# Examples: ACRID, ADMIT, AIDER, CHAIR, CHIDE
I|WIDER|A,W,M,R,H,I,M,C,L,D,E,T

# Puzzle 91: 3 words with 'E'
# Examples: PESKY, SHEIK, SPIKE
E|SHEIK|Y,S,F,M,I,K,Y,E,P,Y,H,B

# Puzzle 92: 15 words with 'I'
# Examples: AGAIN, ALIGN, APING, CAIRN, CIGAR
I|CIGAR|A,P,N,A,F,N,R,I,C,L,R,G

# Puzzle 93: 11 words with 'O'
# Examples: AFOOT, ALOFT, ALOOF, ELOPE, FLOAT
O|LOOPY|O,E,Y,P,F,T,T,E,O,L,A,C

# Puzzle 94: 3 words with 'A'
# Examples: BADGE, BEGAT, CADET
A|BADGE|A,D,C,B,T,E,D,M,M,G,G,B

# Puzzle 95: 8 words with 'B'
# Examples: ALBUM, BLURB, CRUMB, PLUMB, RUMBA
B|UMBRA|B,M,B,C,R,G,P,S,L,U,G,A

# Puzzle 96: 10 words with 'P'
# Examples: ADAPT, ADEPT, AGAPE, APART, CAPER
P|ADEPT|E,R,G,C,P,A,D,C,A,F,T,D

# Puzzle 97: 14 words with 'I'
# Examples: FLING, FLINT, FUNGI, GLINT, GUILT
I|VISIT|U,N,L,S,V,I,S,G,F,T,S,I

# Puzzle 98: 25 words with 'U'
# Examples: ACUTE, AMUSE, ANNUL, AUNTY, CAUSE
U|SUNNY|Y,E,N,U,G,L,C,A,N,S,M,T

# Puzzle 99: 26 words with 'O'
# Examples: DEPOT, DONUT, DRONE, DROVE, GONER
O|VOGUE|R,U,G,E,D,U,V,T,U,N,O,P

# Puzzle 100: 41 words with 'E'
# Examples: AFTER, AGREE, DEATH, DEFER, DETER
E|GRATE|E,Y,W,H,E,A,G,E,F,D,R,T

# Puzzle 101: 8 words with 'D'
# Examples: BUSED, DEBUT, DEPOT, DOUBT, DOWEL
D|DWELL|S,D,O,L,B,L,P,T,W,U,E,W

# Puzzle 102: 12 words with 'S'
# Examples: GHOST, GLOSS, GUSTO, SHOOT, SHOUT
S|STOOL|U,S,S,O,D,G,S,H,T,O,O,L

# Puzzle 103: 3 words with 'N'
# Examples: ENSUE, NEWLY, QUEEN
N|QUEEN|P,L,U,S,W,P,Y,E,Q,P,N,E

# Puzzle 104: 2 words with 'F'
# Examples: FLECK, FLYER
F|FLECK|Y,R,F,E,C,N,W,L,Y,G,W,K

# Puzzle 105: 9 words with 'L'
# Examples: BELIE, BELLE, FLESH, FOLIO, HELLO
L|FOLIO|F,L,O,E,F,I,L,O,E,H,B,S

# Puzzle 106: 19 words with 'A'
# Examples: ALLOT, ALLOY, ALOFT, ATOLL, BANJO
A|BANJO|Y,N,F,L,O,B,J,A,I,T,L,H

# Puzzle 107: 36 words with 'A'
# Examples: ACORN, ACRID, ACTOR, ADORN, ALLOT
A|CANON|C,H,I,N,N,D,L,L,A,O,R,T

# Puzzle 108: 6 words with 'T'
# Examples: APTLY, PATTY, PLANT, TANGY, TAWNY
T|PLANT|T,P,M,W,L,N,N,Y,A,P,T,G

# Puzzle 109: 20 words with 'I'
# Examples: FILMY, FIRST, FLICK, FLIRT, FOIST
I|SILKY|C,R,T,O,L,M,I,Y,S,R,K,F

# Puzzle 110: 43 words with 'T'
# Examples: ACUTE, CAPUT, CASTE, CLEAT, CUTIE
T|VITAL|I,V,U,E,P,C,S,E,T,A,L,I

# Puzzle 111: 61 words with 'A'
# Examples: AFTER, ARTSY, CAGEY, CASTE, CATER
A|GRATE|S,C,M,A,F,H,E,Y,T,G,Y,R

# Puzzle 112: 9 words with 'Y'
# Examples: COYLY, HOTLY, LOUSY, LUSTY, POUTY
Y|LUSTY|W,U,C,H,U,O,P,L,S,Y,Y,T

# Puzzle 113: 22 words with 'I'
# Examples: AISLE, ARISE, CHAIR, CHIME, CLAIM
I|WHILE|W,E,M,I,A,R,A,L,Y,H,C,S

# Puzzle 114: 9 words with 'V'
# Examples: ANVIL, CAVIL, CURVY, GRAVY, RIVAL
V|GRAVY|A,C,U,L,V,G,I,G,R,Y,U,N

# Puzzle 115: 10 words with 'U'
# Examples: ADULT, ALOUD, GOURD, GROUT, GUARD
U|VAULT|A,V,A,D,T,G,R,U,L,T,O,L

# Puzzle 116: 2 words with 'R'
# Examples: GRUFF, TRUTH
R|GRUFF|T,F,R,D,H,U,G,G,T,F,W,F

# Puzzle 117: 7 words with 'I'
# Examples: ADMIN, ANIME, DENIM, EDIFY, FIEND
I|EDIFY|N,I,A,Y,D,E,F,I,M,I,Y,P

# Puzzle 118: 43 words with 'E'
# Examples: AGREE, AIDER, CADET, CAGEY, CATER
E|EATER|Y,E,R,G,D,I,A,T,C,E,D,Y

# Puzzle 119: 17 words with 'N'
# Examples: AGENT, ANGEL, ANGER, ANGLE, CHANT
N|RANCH|G,E,N,C,L,N,T,G,A,R,H,R

# Puzzle 120: 9 words with 'W'
# Examples: MOWER, POWER, ROWER, TOWER, WEIRD
W|WRITE|I,W,E,D,M,R,P,G,T,O,R,W

# Puzzle 121: 9 words with 'B'
# Examples: BASIN, BATTY, BITTY, BRAID, BRAIN
B|BRAND|B,N,G,Y,R,T,N,S,D,T,I,A

# Puzzle 122: 6 words with 'L'
# Examples: ALIBI, BRAWL, TRAIL, TRAWL, TRIAL
L|TRIAL|T,R,R,B,W,B,I,A,N,I,L,T

# Puzzle 123: 17 words with 'E'
# Examples: DRIER, DRYER, EDIFY, FERRY, FIERY
E|PRIED|E,R,I,P,I,Y,D,U,R,P,F,W

# Puzzle 124: 9 words with 'L'
# Examples: APPLY, CLASP, PALSY, PULPY, PUPAL
L|CLASP|D,S,D,G,P,C,P,L,A,U,Y,G

# Puzzle 125: 3 words with 'C'
# Examples: BELCH, CHESS, WELCH
C|CHESS|S,D,B,L,Y,H,E,C,S,W,S,F

# Puzzle 126: 21 words with 'U'
# Examples: GROUT, GRUEL, GRUNT, GUILE, GUILT
U|UNLIT|I,L,Y,O,U,T,U,E,G,L,R,N

# Puzzle 127: 34 words with 'S'
# Examples: AISLE, ARISE, ARTSY, CASTE, CREST
S|SWEAR|R,I,S,L,A,E,C,W,I,Y,G,T

# Puzzle 128: 13 words with 'O'
# Examples: ALONE, ANODE, CACAO, CANOE, CLONE
O|COLON|N,W,C,L,D,A,C,E,O,O,A,E

# Puzzle 129: 7 words with 'W'
# Examples: AWARE, AWFUL, FEWER, JEWEL, TRAWL
W|JEWEL|U,U,T,W,F,A,R,L,E,J,E,A

# Puzzle 130: 10 words with 'Y'
# Examples: BADLY, BEADY, CANDY, DECAY, DELAY
Y|HANDY|C,L,A,B,A,Y,D,E,H,E,H,N

# Puzzle 131: 3 words with 'A'
# Examples: ALOOF, MADAM, MODAL
A|MADAM|L,O,O,A,M,P,M,W,F,A,D,D

# Puzzle 132: 50 words with 'A'
# Examples: ABIDE, ABLED, AGILE, AIDER, ALIBI
A|ABIDE|G,I,A,D,W,N,B,L,R,N,E,I

# Puzzle 133: 8 words with 'R'
# Examples: DIRTY, DRILL, DROIT, DROLL, DRYLY
R|DRYLY|T,D,S,L,D,R,O,I,Y,Y,M,L

# Puzzle 134: 7 words with 'I'
# Examples: CHILI, CINCH, CLING, HINGE, ICING
I|ICING|L,G,C,G,C,E,I,C,I,I,N,H

# Puzzle 135: 35 words with 'A'
# Examples: ABODE, ABOUT, ABUSE, ADOBE, AGENT
A|ATONE|S,O,O,H,E,G,B,N,U,A,T,D

# Puzzle 136: 22 words with 'Y'
# Examples: FANCY, FLAKY, HASTY, HEFTY, HYENA
Y|SHAKY|T,S,Y,N,F,E,A,C,K,W,H,L

# Puzzle 137: 6 words with 'O'
# Examples: CONDO, DITTO, NOTCH, ONION, TONIC
O|ONION|D,T,H,Y,O,I,O,O,C,N,N,T

# Puzzle 138: 25 words with 'N'
# Examples: ENSUE, GENIE, GENRE, GREEN, NEWER
N|RISEN|R,N,W,U,E,E,S,U,R,S,I,G

# Puzzle 139: 9 words with 'Y'
# Examples: BELLY, BONEY, DOLLY, EBONY, GODLY
Y|EBONY|T,E,G,Y,O,B,D,Y,L,N,L,M

# Puzzle 140: 6 words with 'H'
# Examples: CHUCK, CHUNK, HUMUS, MUNCH, SHUCK
H|SHUCK|T,N,T,U,K,T,C,C,S,M,U,H

# Puzzle 141: 7 words with 'U'
# Examples: CRUMB, CRUMP, FEMUR, PUREE, RUMBA
U|RUPEE|E,P,R,C,E,A,F,F,U,B,M,U

# Puzzle 142: 67 words with 'E'
# Examples: DENSE, DEPOT, DEPTH, DETER, DRONE
E|HOTEL|N,S,H,O,R,R,E,D,L,E,T,P

# Puzzle 143: 7 words with 'H'
# Examples: CHEER, HENCE, SHEEN, SHEER, SHREW
H|SHEEN|E,S,N,D,C,E,R,R,E,N,W,H

# Puzzle 144: 12 words with 'A'
# Examples: CADDY, CADET, CANDY, CATTY, DANCE
A|EXACT|E,C,D,C,X,N,D,T,F,Y,T,A

# Puzzle 145: 30 words with 'S'
# Examples: ABYSS, ARSON, ARTSY, BOAST, BOSSY
S|PANSY|O,A,S,Y,P,N,B,S,R,P,T,M

# Puzzle 146: 5 words with 'Y'
# Examples: ENJOY, FUNNY, PENNY, PINEY, UNIFY
Y|ENJOY|Y,O,N,P,N,F,I,U,E,P,J,O

# Puzzle 147: 2 words with 'N'
# Examples: LUMEN, UNCLE
N|UNCLE|C,S,L,B,B,E,C,M,P,N,Y,U

# Puzzle 148: 7 words with 'I'
# Examples: BIRCH, BRICK, CHICK, CHIRP, CRICK
I|PRICK|K,H,Y,I,C,I,W,P,F,R,C,B

# Puzzle 149: 11 words with 'O'
# Examples: LOAMY, LOOPY, MODAL, MOLDY, MOODY
O|ODDLY|C,A,L,P,D,M,O,A,Y,D,S,O

# Puzzle 150: 27 words with 'A'
# Examples: AGAPE, ALGAE, AMPLE, ANGEL, ANGLE
A|AGAPE|N,A,E,G,A,P,L,S,A,E,L,M

# Puzzle 151: 2 words with 'W'
# Examples: SWAMI, SWARM
W|SWARM|M,S,A,B,S,I,S,I,B,W,R,D

# Puzzle 152: 18 words with 'R'
# Examples: CORER, CREDO, CREST, DECOR, DECRY
R|ROGER|R,R,S,Y,D,Y,O,E,G,C,M,T

# Puzzle 153: 10 words with 'C'
# Examples: COLOR, CORER, CREPT, CRIER, OCTET
C|CREPT|T,L,R,T,I,P,C,R,C,O,E,O

# Puzzle 154: 17 words with 'T'
# Examples: BLURT, BROTH, FLOUT, FORTH, FORTY
T|YOUTH|U,F,R,O,T,Y,L,P,B,T,H,H

# Puzzle 155: 12 words with 'C'
# Examples: CLOCK, CLOUT, CLUCK, CLUNG, COUNT
C|CLOCK|F,L,U,O,G,C,N,K,T,L,S,C

# Puzzle 156: 24 words with 'S'
# Examples: CLOSE, FETUS, FLOSS, FOCUS, GLOSS
S|SCONE|S,E,G,N,L,U,F,S,T,O,C,O

# Puzzle 157: 6 words with 'A'
# Examples: LOAMY, MAYOR, MOLAR, MORAL, MURAL
A|LOAMY|I,M,W,L,R,A,U,O,Y,M,I,Y

# Puzzle 158: 18 words with 'E'
# Examples: ACUTE, CATER, CHEAT, CHUTE, CRATE
E|CHUTE|T,H,A,H,A,Y,U,R,H,C,E,Y

# Puzzle 159: 11 words with 'Y'
# Examples: HARPY, HARRY, HORNY, MARRY, MAYOR
Y|MARRY|O,H,R,H,Y,N,O,O,M,P,A,R

# Puzzle 160: 4 words with 'M'
# Examples: ADMIT, DATUM, GAMUT, MAXIM
M|MAXIM|M,X,D,U,G,A,M,W,T,G,I,W

# Puzzle 161: 9 words with 'G'
# Examples: AGORA, CARGO, GONAD, GRAND, GRAPH
G|CARGO|G,D,C,R,D,H,N,H,A,P,A,O

# Puzzle 162: 1 words with 'A'
# Examples: GAWKY
A|GAWKY|W,W,W,Y,A,G,A,Y,H,Y,B,K

# Puzzle 163: 10 words with 'I'
# Examples: ALIBI, CHILI, CHILL, HABIT, ILIAC
I|ALIBI|T,L,I,I,C,P,I,B,L,A,H,G

# Puzzle 164: 12 words with 'T'
# Examples: GHOST, GUSTO, HOIST, OUGHT, POSIT
T|OUGHT|T,U,O,U,T,U,S,G,H,G,P,I

# Puzzle 165: 30 words with 'I'
# Examples: CIDER, CRIED, CRIER, CRIME, DEIGN
I|RIDGE|G,N,D,M,R,Y,C,R,I,G,W,E

# Puzzle 166: 9 words with 'F'
# Examples: AFOOT, CRAFT, FORTH, FROST, FROTH
F|SPOOF|A,S,P,H,O,S,O,C,T,R,F,H

# Puzzle 167: 43 words with 'E'
# Examples: BATHE, BEADY, BEARD, BERET, BERTH
E|ETHER|B,R,E,Y,H,N,E,W,E,T,A,D

# Puzzle 168: 8 words with 'N'
# Examples: ANNEX, ANNUL, APNEA, BANAL, LUMEN
